op name, kernel name, exec duration (ms), global size, local size, output size
cache_v_l5 (view),kernel_set_rows_f16_i64,0.002900,2048x1x1,1024x1x1,1024x40192x1x1
node_200,flash_attn_blk_f16,0.006900,8x1x1,0x0x0,128x16x2x1
node_200,flash_attn_f32_f16,0.062000,128x16x0,128x1x0,128x16x2x1
node_202,kernel_transpose_32_16,0.004900,512x2x0,1x16x0,2048x2x1x1
node_202,kernel_gemm_noshuffle_q4_0_f32,0.327800,1x512x1,1x128x1,2048x2x1x1
ffn_inp-5,kernel_add,0.013500,128x1x1,64x1x1,2048x2x1x1
ffn_norm-5,kernel_rms_norm_mul,0.005300,2048x1x1,1024x1x1,2048x2x1x1
ffn_gate-5,kernel_transpose_32_16,0.004800,512x2x0,1x16x0,6144x2x1x1
ffn_gate-5,kernel_gemm_noshuffle_q4_0_f32,0.344700,1x1536x1,1x128x1,6144x2x1x1
ffn_up-5,kernel_transpose_32_16,0.005100,512x2x0,1x16x0,6144x2x1x1
ffn_up-5,kernel_gemm_noshuffle_q4_0_f32,0.343700,1x1536x1,1x128x1,6144x2x1x1
ffn_swiglu-5,kernel_swiglu,0.006000,1024x1x1,512x1x1,6144x2x1x1
ffn_out-5,kernel_transpose_32_16,0.010100,1536x2x0,1x16x0,2048x2x1x1
ffn_out-5,kernel_gemm_noshuffle_q4_0_f32,0.976000,1x512x1,1x128x1,2048x2x1x1
l_out-5,kernel_add,0.014100,128x1x1,64x1x1,2048x2x1x1
attn_norm-6,kernel_rms_norm_mul,0.006000,2048x1x1,1024x1x1,2048x2x1x1
Qcur-6,kernel_transpose_32_16,0.005000,512x2x0,1x16x0,2048x2x1x1
Qcur-6,kernel_gemm_noshuffle_q4_0_f32,0.326500,1x512x1,1x128x1,2048x2x1x1
Qcur_normed-6,kernel_rms_norm_mul,0.004700,2048x2x1,128x1x1,128x16x2x1
Qcur-6,kernel_rope_neox_f32,0.003600,1024x2x1,64x1x1,128x16x2x1
Vcur-6,kernel_transpose_32_16,0.004800,512x2x0,1x16x0,1024x2x1x1
Vcur-6,kernel_gemm_noshuffle_q4_0_f32,0.326600,1x256x1,1x128x1,1024x2x1x1
Kcur-6,kernel_transpose_32_16,0.005000,512x2x0,1x16x0,1024x2x1x1
Kcur-6,kernel_gemm_noshuffle_q4_0_f32,0.330200,1x256x1,1x128x1,1024x2x1x1
Kcur_normed-6,kernel_rms_norm_mul,0.004000,1024x2x1,128x1x1,128x8x2x1
Kcur-6,kernel_rope_neox_f32,0.002600,512x2x1,64x1x1,128x8x2x1
cache_k_l6 (view),kernel_set_rows_f16_i64,0.002900,2048x1x1,1024x1x1,1024x40192x1x1
cache_v_l6 (view),kernel_set_rows_f16_i64,0.002800,2048x1x1,1024x1x1,1024x40192x1x1
node_235,flash_attn_blk_f16,0.007000,8x1x1,0x0x0,128x16x2x1
node_235,flash_attn_f32_f16,0.061000,128x16x0,128x1x0,128x16x2x1
node_237,kernel_transpose_32_16,0.004900,512x2x0,1x16x0,2048x2x1x1
node_237,kernel_gemm_noshuffle_q4_0_f32,0.338600,1x512x1,1x128x1,2048x2x1x1
