op name, kernel name, exec duration (ms), t_since_start_ms, tensor_bytes, rss_kb, global size, local size, output size
ffn_norm-12,MUL,0.001406,1286.915833,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
ffn_gate-12,MUL_MAT,0.151042,1287.070781,24576,5698600,6144x1x1x1,0x0x0,6144x1x1x1
ffn_up-12,MUL_MAT,0.359948,1287.435052,24576,5698600,6144x1x1x1,0x0x0,6144x1x1x1
ffn_swiglu-12,GLU,0.287552,1287.727291,24576,5698600,6144x1x1x1,0x0x0,6144x1x1x1
ffn_out-12,MUL_MAT,0.175625,1287.907239,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
l_out-12,ADD,0.001354,1287.913073,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
norm-13,RMS_NORM,0.003438,1287.920104,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
attn_norm-13,MUL,0.001406,1287.925104,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
Qcur-13,MUL_MAT,0.057812,1287.986510,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
Qcur-13,RESHAPE,0.000313,1287.991094,8192,5698600,128x16x1x1,0x0x0,128x16x1x1
norm-13,RMS_NORM,4.571979,1292.567031,8192,5698600,128x16x1x1,0x0x0,128x16x1x1
Qcur_normed-13,MUL,7.994895,1300.566666,8192,5698600,128x16x1x1,0x0x0,128x16x1x1
Qcur-13,ROPE,3.995261,1304.566771,8192,5698600,128x16x1x1,0x0x0,128x16x1x1
Vcur-13,MUL_MAT,8.024531,1312.595625,4096,5698600,1024x1x1x1,0x0x0,1024x1x1x1
Vcur-13,RESHAPE,0.000313,1312.600521,4096,5698600,128x8x1x1,0x0x0,128x8x1x1
Kcur-13,MUL_MAT,0.181302,1312.785729,4096,5698600,1024x1x1x1,0x0x0,1024x1x1x1
Kcur-13,RESHAPE,0.000469,1312.790885,4096,5698600,128x8x1x1,0x0x0,128x8x1x1
norm-13,RMS_NORM,0.100104,1312.894791,4096,5698600,128x8x1x1,0x0x0,128x8x1x1
Kcur_normed-13,MUL,0.001718,1312.900937,4096,5698600,128x8x1x1,0x0x0,128x8x1x1
Kcur-13,ROPE,0.002292,1312.906927,4096,5698600,128x8x1x1,0x0x0,128x8x1x1
Kcur-13 (view),VIEW,0.000312,1312.910885,4096,5698600,1024x1x1x1,0x0x0,1024x1x1x1
cache_k_l13 (view),SET_ROWS,0.041094,1312.955625,83886080,5698600,1024x40960x1x1,0x0x0,1024x40960x1x1
Vcur-13 (view),VIEW,0.000313,1312.960573,4096,5698600,1024x1x1x1,0x0x0,1024x1x1x1
cache_v_l13 (view),SET_ROWS,0.019531,1312.983854,83886080,5698600,1024x40960x1x1,0x0x0,1024x40960x1x1
Qcur-13 (view),VIEW,0.000469,1312.988854,8192,5698600,128x16x1x1,0x0x0,128x16x1x1
Qcur-13 (view) (permuted),PERMUTE,0.018437,1313.010885,8192,5698600,128x1x16x1,0x0x0,128x1x16x1
cache_k_l13 (view),VIEW,0.000260,1313.015364,524288,5698600,128x8x256x1,0x0x0,128x8x256x1
cache_k_l13 (view) (permuted),PERMUTE,0.020000,1313.039166,524288,5698600,128x256x8x1,0x0x0,128x256x8x1
cache_v_l13 (view),VIEW,0.000313,1313.043750,524288,5698600,128x8x256x1,0x0x0,128x8x256x1
cache_v_l13 (view) (permuted),PERMUTE,0.019219,1313.066927,524288,5698600,128x256x8x1,0x0x0,128x256x8x1
node_480,FLASH_ATTN_EXT,0.044635,1313.115989,8192,5698600,128x16x1x1,0x0x0,128x16x1x1
kqv_out-13,RESHAPE,0.000261,1313.120469,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
node_482,MUL_MAT,0.150365,1313.274479,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
ffn_inp-13,ADD,0.001406,1313.280364,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
norm-13,RMS_NORM,0.003178,1313.287344,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
ffn_norm-13,MUL,0.001355,1313.292396,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
ffn_gate-13,MUL_MAT,0.159011,1313.454948,24576,5698600,6144x1x1x1,0x0x0,6144x1x1x1
ffn_up-13,MUL_MAT,0.159583,1313.618958,24576,5698600,6144x1x1x1,0x0x0,6144x1x1x1
ffn_swiglu-13,GLU,0.004115,1313.628021,24576,5698600,6144x1x1x1,0x0x0,6144x1x1x1
ffn_out-13,MUL_MAT,0.181771,1313.813802,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
l_out-13,ADD,0.001354,1313.819375,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
norm-14,RMS_NORM,0.003333,1313.826406,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
attn_norm-14,MUL,0.001354,1313.831406,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
